StationID,Collection Date,BenSampID,Collection DateTime,RepNum,Acentrella,Acerpenna,Acroneuria,Allocapnia,Amphinemura,Anchytarsus,Ancylidae,Ancyronyx variegatus,Antocha,Argia,Asellidae,Atherix,Baetidae,Baetis,Bezzia,Bezzia/Palpomyia,Boyeria,Brachycentrus,Caenis,Calopteryx,Cambaridae,Capniidae,Ceratopsyche,Cheumatopsyche,Chimarra,Chironomidae,Cinygmula,Corbicula,Corydalus,Crangonyctidae,Dicranota,Diplectrona,Dolophilodes,Drunella,Dubiraphia,Eccoptura xanthenes,Ectopria,Elmidae,Epeorus,Ephemerella,Ephemerellidae,Eurylophella,Glossosoma,Gomphidae,Haploperla,Helichus,Hemerodromia,Heptageniidae,Heterocloeon,Hexatoma,Hydracarina,Hydrobiidae,Hydropsyche,Hydropsyche/Ceratopsyche,Hydropsychidae,Hydroptila,Isonychia,Isoperla,Lepidostoma,Leptophlebiidae,Leucrocuta,Leuctra,Lumbriculidae,Lype diversa,Maccaffertium,Macronychus glabratus,Microcylloepus,Naididae,Neophylax,Nigronia,Oecetis,Oligochaeta,Optioservus,Oulimnius,Paragnetina,Paraleptophlebia,Perlesta,Perlidae,Perlodidae,Physidae,Pisidiidae,Planorbidae,Plauditus,Plecoptera,Pleuroceridae,Polycentropus,Probezzia,Promoresia,Prosimulium,Psephenus,Pseudocloeon,Pteronarcys,Rhyacophila,Serratella,Simuliidae,Simulium,Stenacron,Stenelmis,Sweltsa,Taeniopteryx,Tallaperla,Teloganopsis deficiens,Tipula,Triaenodes,Trichoptera,Tricladida,Yugus,Zapada,Zealeuctra,Zygoptera
4ATRB000.97,4/9/2013,TRB4831,2013-04-09T09:50:00Z,1,2,,,,2,,,3,,,,,,,,,,,,,,,,3,2,65,,4,,,,,,,,,,,1,46,2,,,,,,3,2,,,1,,,,3,,15,,,,,,,,8,,,,,,,12,,2,,,1,,,1,,,,,16,,,,4,,,,,1,3,4,,,,,,,,,,,,,,
3-RAP066.54,4/10/2013,RAP4906,2013-04-10T11:30:00Z,1,2,,,,,,,,,2,,,,,,,,,,,,,4,3,2,15,,,2,,,,,9,5,,,,7,92,6,,,1,,,,,,,2,,1,,,,5,1,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,15,,,,,,,2,,2,,,,,,,,,,,,
6ASAT011.43,4/10/2013,SAT4556,2013-04-10T13:30:00Z,1,33,,,,3,,,,3,1,,,,4,,,,,1,,,,,1,1,41,,,1,,,1,,,,,,11,5,44,2,,,1,,,2,2,,,,,,,1,,1,,,,,,,,13,,,,,2,,,1,,,,,,,,,,,,,,,,9,4,,,,,1,,2,,,,,,,,,,,,,
2-HUS002.24,4/11/2013,HUS4577,2013-04-11T13:35:00Z,1,,,,,6,,,,,,,,,,,,,,,,,,,1,5,63,,4,,,,,,,,,,,,19,,1,,,,,2,,2,,3,,,,,,4,,,,,,,,18,,,,,3,,4,,18,,,,,,,,,,,,,,,3,,,,1,,,49,,,,,,,,,,,,,,
2-WTN002.50,4/11/2013,WTN4578,2013-04-11T12:00:00Z,1,,,,,7,,,,,,,,7,,,,,,,,,,,,,41,,1,,,,,,,,,,,,12,1,,,,,,1,1,,,,,,,,,,2,,,,,,,1,,,,,,,1,3,,,,,,,,,,1,,1,,,,2,,,,,,,130,,,,,,,,,,,,,,
3-LIA003.14,4/11/2013,LIA4887,2013-04-11T10:30:00Z,1,,13,,,,,,7,4,,,,,,,,,,,,,,,22,,92,,,,,,,,,,,,,,,,,,,,1,,,,,2,,4,,,,,,,,,,,,,1,,6,,,,5,1,,,,,,,2,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,
5ABSK004.32,4/11/2013,BSK4924,2013-04-11T13:20:00Z,1,,,,,12,,,,1,,,,7,,,,,,5,,,,,,,13,,,,,,,,,1,,,,,,3,,,,,1,,2,,,,3,,,,,,1,,6,,,,,1,,,,,,,5,,,,5,9,3,,,4,1,30,,,,,,,,,,,,,36,7,1,,,,,,2,,,,,,
5AGRV000.08,4/11/2013,GRV4912,2013-04-11T11:30:00Z,1,,,,,1,,,1,,,1,,23,,,,,,4,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,1,,,,,,,6,,,,,,,2,,,,,1,,,,6,,39,4,,,,,,,,,,,,44,,,,,,,,,,,,,,
6ADIS022.34,4/11/2013,DIS4555,2013-04-11T10:15:00Z,1,2,,,,7,,,,,,,,1,18,,,,,,,,,24,8,,47,5,,,,,,,1,,,,2,,33,1,,,,,,,2,,,,,,,11,,1,,,,,,,,4,,,,,,,,3,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,
4AALN016.38,4/15/2013,ALN4815,2013-04-15T14:45:00Z,1,,,,,2,,,,,,,,,1,,,,,,,,,,,,63,,6,,,,,,,,,,,,1,,9,,,,,,6,,,,,,,,,,1,,,,,,,5,,,,,,,7,,,,,,,,,,,6,,,,,,3,,,,,,43,39,,,,1,,,,,,,,,,
5AJNH001.73,4/15/2013,JNH4914,2013-04-15T12:00:00Z,1,,,,,18,,,,,,5,,3,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,18,,,,,,,4,,,,,9,,,,1,,,,,,,,,,49,,,,,17,2,,,,,,1,,,,,,,
6AABR000.71,4/15/2013,ABR4547,2013-04-15T12:00:00Z,1,2,1,,,4,,,,2,,,,,,,,,,2,,1,,,26,,29,8,,,,,2,1,5,1,,,3,,24,1,8,,5,,,,4,,3,,,2,,,,,6,,1,,,,,7,,,,,,,,14,7,,,,,,,,,,,,,,,,14,,,,,,,,5,,,,,,,,,,,,
6BCRC000.20,4/15/2013,CRC4548,2013-04-15T13:10:00Z,1,,,,,6,,,,,,,,,11,,,,,,,1,,,5,,48,,,,,6,10,5,,,,,1,2,15,,4,,,1,,1,3,,,,,1,,,,,8,2,7,1,10,,,14,,,,,,,1,,4,,1,,,,,,,,1,,,,,,,,,,,,3,3,,1,,,,2,,,,,,,
3-ENT000.65,4/16/2013,ENT4885,2013-04-16T14:30:00Z,1,,,2,,7,,,,,,,,,6,,1,,,,,,,,,,11,5,,,,1,6,1,3,,,1,,21,70,,,,,,,,,,1,,1,,2,,,4,13,,,,,,,3,,,,,,,,1,2,,,,,,,,,,,,,,,2,3,,4,8,,,2,,,4,,3,,1,,,,,,,
3-SOT001.00,4/16/2013,SOT4910,2013-04-16T12:00:00Z,1,3,,,,15,,,,,,,,,,,,,,2,,,,2,7,10,43,,1,,,,,,22,,,,,3,45,,,,,,,,,1,,,,,,,,13,2,,,,,,,1,2,1,,,1,,,,,,,1,,,,,,,,7,,,,2,,,,,,,3,,,,,,,,,,,,,,
5ASRE002.12,4/16/2013,SRE4916,2013-04-16T12:00:00Z,1,,,,,,,,,,,40,,,,,,,,,,4,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2ABLD014.73,4/17/2013,BLD4597,2013-04-17T10:00:00Z,1,5,,,,4,,,,,,,,3,3,,,,,,,,,,7,,62,,,,,,,,,,,,,3,47,1,1,,,,,3,,,,6,,,,,,,,,,,3,,,10,,,1,,1,,,7,,,,,,,,,,3,,6,,,,,,,1,,,,1,,1,,1,,,,,,,,,,
4AMIL002.17,4/17/2013,MIL4795,2013-04-17T13:00:00Z,1,,,,,4,,,1,,,,,,,,,,,,,,,,4,,64,,5,,,,,,,1,1,,,,18,,,,,,5,5,2,3,,1,,,,2,,2,2,,,,,,,6,6,,,,,,2,1,,,,13,,,,,,3,,,,,,,,,2,,5,12,,,,,25,,,,3,,,,,,
4AWRN000.43,4/17/2013,WRN4826,2013-04-17T11:50:00Z,1,,,,,,,,,,,,,5,2,,,,,,,,,,7,3,63,,5,,,,,,,,1,,2,,,4,,,,,,1,,,,,,,,2,,6,1,,,,,,,4,,,,,,,,,,,,10,1,1,,,,32,,14,,,1,,,,,,4,10,22,,3,,,,,,,,,,,,
4AWRN005.50,4/17/2013,WRN4825,2013-04-17T10:00:00Z,1,,,,,,,,,,,1,,6,1,,,,,,,,,,12,,89,,,,,,,,,,,,,,11,2,,,,,3,2,2,,,,,,,1,,,,,,,,,,1,7,,,,,,2,,,,,10,,,,,,13,,,,,,,,,,,1,6,11,,,,11,,,1,2,,,,,,
3-SMR004.81,4/18/2013,SMR4909,2013-04-18T12:45:00Z,1,,,,,22,,,,,,,,,,,,,,5,,,,,,3,65,,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,3,,,2,,,,2,,,,,,,,,,,23,,,,,,,,,,2,,,24,9,2,,,,,,,,,,,,
4ABIR011.55,4/18/2013,BIR4810,2013-04-18T12:00:00Z,1,,,,,10,,,,,,,,3,,,,,,,,,,,1,,96,,,1,,,,,,,,,,,20,,,,,,2,,,,,,,2,,,,3,,,,,,,,1,1,,,,,,2,,1,,,6,,,,,,15,,,,,,,,,,,,13,14,,,,6,,,,,,,,,,
4ADBC002.19,4/18/2013,DBC4794,2013-04-18T09:50:00Z,1,,,,,17,,,2,,,,,,,,,1,,,,,,,3,,51,,,,,,,,,,,,,,31,1,1,,,,,3,1,,,1,,1,,,,,3,,,,,,,3,7,,,,,,,,,,,27,,,,1,,3,,,,,,,,,7,,5,,14,1,,,15,,,,1,,,,,,
9-DEN000.39,4/18/2013,DEN4558,2013-04-18T11:00:00Z,1,8,,,,5,,,,2,,,,3,18,,,,,,,,,2,,,77,,,,,,,,,,,,1,4,6,,,,,,,,1,,,,,,,1,,,2,,1,,2,,,1,,,17,,,,,6,,,,,2,,,,,,,,,,,,20,,,2,,,16,1,3,,,,,,,,,,1,,
2-LTQ000.64,4/22/2013,LTQ4609,2013-04-22T15:00:00Z,1,18,,1,,55,1,,,,,,,,,,,,,,,,,,1,,25,2,,,,,,9,,,,,,5,3,,,,2,,,,1,,,,,,,,1,1,,,,1,10,,,9,,,,,1,,,2,4,,,,1,,,,,,,3,,,,,12,,,6,,,9,,,,,,,1,,,,,,,
2-WER001.93,4/22/2013,WER4918,2013-04-22T11:15:00Z,1,,,,,,,,2,,,13,,,,,1,,,,,,,,1,,19,,,,,,,,,2,,,,,,,,,,,,,1,,,2,23,,,,,,,,,,,,,13,1,,,,,,5,,,,,8,,,,3,1,,,,,,,,,18,,,,,52,3,14,,,,,,5,,,,,,
2-KSL003.95,4/23/2013,KSL4881,2013-04-23T11:20:00Z,1,,1,,,2,,,,3,,,,5,1,,1,1,,,,1,,,4,,51,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,5,,,14,,,1,1,1,11,,,,,,,25,,,,,,5,,41,,,,,,,,,,,,
3-COV001.95,4/23/2013,COV4884,2013-04-23T11:00:00Z,1,5,,1,,20,,,,,,,,,,,,,,8,,,,,3,,4,,,,,,,1,92,1,,,,,25,,,,,,,,,1,,2,,,2,,,2,,,,,,,,5,,,3,,,,,,,,,,,,,,,13,,,1,,,1,1,,,8,,,1,,,,,,,1,,,,,,,
3-HAZ042.43,4/23/2013,HAZ4886,2013-04-23T13:30:00Z,1,8,,2,,3,,,,2,,,,,,,,,,,,,,,6,1,16,7,,,,,1,,2,,,,,11,51,,7,,,,,,,,1,3,,,1,,,11,9,1,,,,,,8,,,,1,,,,,,,,,,,,,,,,,,,,1,3,,3,9,,,3,,,4,,3,,1,,,,,,,
4AMEY006.72,4/23/2013,MEY4788,2013-04-23T10:15:00Z,1,,,,,,,,,,,,,2,,,,,,,,,,,3,1,99,,9,1,,,,,,,1,,3,,5,,,,,,,3,6,,,3,,,,1,,,,,,,,,,5,,,,,,,25,6,1,,,2,,,,,,12,,4,,,,,,,,,,,1,,,,,,,,1,,,,,,
4AMEY016.00,4/23/2013,MEY4816,2013-04-23T13:25:00Z,1,,,,,,,,2,,,,,,,,,,,1,,1,,,2,1,117,,6,,,,,,,1,1,,1,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,4,2,,,1,,,42,,,,,1,,,1,4,2,1,,5,,,,,4,,,,,,4,,2,,,,1,1,,,,,,,
2BMCM014.13,4/24/2013,MCM4444,2013-04-24T10:00:00Z,1,,,,,,,,,2,,,,7,,,,,,,,,,,20,,44,,1,1,,,,,,,,,2,,4,1,,,,,,1,,,,1,,,7,,1,1,,,,,1,,,10,,,,,,,,10,4,,,5,,,,,,53,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,
4AXVP000.20,4/24/2013,XVP4579,2013-04-24T12:45:00Z,1,,,,,25,2,,,1,,,,,,,,,,,,,,,2,,62,,,,,1,,2,,,5,1,,,,,,,1,3,3,,,,1,4,,,,,,,,7,4,,,,,,,,,1,1,,7,,18,,8,,3,,,,,,,3,,,,,4,,,,,,1,,1,,,,,1,,,,,,,
4AXVQ000.77,4/24/2013,XVQ4814,2013-04-24T10:40:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,13,,,,,,,,1,,,,1,,,1,,,,,,,,,3,,,,,,,,,,,,,,
8-CPL004.15,4/24/2013,CPL4941,2013-04-24T12:00:00Z,1,,4,,,1,,,3,,,,,,,,,1,,,1,,,,14,3,48,,,,,,,,,,,,,,6,,,,,,,,,,4,,,3,,,,,2,,,,1,,,6,14,,,,,1,4,,,1,,17,,,,3,,7,,,2,3,,,,,,,,,2,,11,,,,,1,,,,,,,
9-CST012.63,4/24/2013,CST4557,2013-04-24T13:30:00Z,1,3,,,,,,1,,4,3,,,2,,,,,,,,,,2,14,,35,,2,,,,,,2,,,,,3,43,,,,1,,,,2,,,,,,,2,,,,,,,,,,19,,,9,,,,1,,,,,,,,,,,29,,,,,,,6,,,,,,1,4,1,,,,3,,,,,,,,
9-RDC049.02,4/24/2013,RDC4553,2013-04-24T10:45:00Z,1,1,1,6,,,,,,,,,,,,,,,,1,,,,,3,,47,59,,,,,,,12,,,,2,4,12,1,,,,1,,,3,,,,,,,1,,,7,,,,2,,,,,,2,4,,,,,3,,1,,,,,,,1,,,1,,,10,,,,,,,16,,,,,,,,,,,,,,
4ALPP004.52,4/25/2013,LPP4813,2013-04-25T12:30:00Z,1,,,,,8,,,,,,,,7,,,,,,,,,,,1,1,98,,2,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,7,,,,,,,,8,,,,,,,2,,6,,,,,5,,,,,,,,,,,,,,,,7,29,,,,,,,1,,,,,,,
8-SAR094.59,4/25/2013,SAR4961,2013-04-25T12:00:00Z,1,,,,,14,,,3,,1,,,,12,,,,,9,,,,,5,,39,,1,,,,,,,3,,,,,3,,3,,,,,,,,,6,9,1,,,,4,2,,,,2,,,22,7,,,,,1,3,,,,,5,,,,2,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
7-DRN010.48,4/26/2013,DRN4805,2013-04-26T11:30:00Z,1,,,,,,,,,,,53,,,,,,,,,,,,,,,22,,,,6,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,,,8,,,,3,,,,,2,,,4,1,4,,,,,,,,,61,,,,,,2,,,,,,,,,,,,,
4ALAW002.43,4/29/2013,LAW4585,2013-04-29T11:50:00Z,1,,,,,1,,,,,,,,9,,,,,,,,,,,,,125,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,,4,,,,,8,2,,,,,,,,,,,8,26,,,,2,,,,,,,,,,
6BCAL004.01,4/29/2013,CAL4391,2013-04-29T14:50:00Z,1,,,,,13,,,,21,,,,1,26,,,,,,,,,1,14,1,64,,,,,,1,,,,,,1,1,8,1,,,,,,5,,,,,,3,,2,,,1,,,,12,,,,,,3,,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2DXAH000.79,4/30/2013,XAH4581,2013-04-30T13:40:00Z,1,,,,,13,,,,,,,,4,,4,,,,,1,1,,,,,110,,1,,,,1,,,2,,,1,,4,,2,,,,2,1,3,,,,,1,,,,2,,,2,,2,,,5,,,,,,,19,,,,1,,1,,,,,14,,,,,,,,,,,,1,4,,,,,,1,,,,,,,,
2-TPN003.59,4/30/2013,TPN4580,2013-04-30T11:15:00Z,1,,,,,6,,,1,,,,,1,7,,,,,,,,1,,9,,79,,,,,,,,,,1,,,,34,,,,,,,1,8,,,,,,,,,10,,,,4,,,,18,,,,,,,1,1,4,,,,3,,1,,,1,,,,,,1,,,,,,,21,,,,,,,,,,,,,,
2-XSP000.97,4/30/2013,XSP5049,2013-04-30T12:00:00Z,1,,,,,6,,,,,,,,12,16,,,,,,,,,,,,12,1,,,,,9,,,,,,,12,21,1,,,,7,,,2,,1,,,,,,,,1,5,11,,,,,,,,,4,,,1,,1,,,,1,,,,,,9,,,1,,,,,,,,,43,,,,,,,,,1,,,,,
5AMRS002.93,4/30/2013,MRS4948,2013-04-30T12:00:00Z,1,,1,,,36,,,,,,2,,,,,,1,,,,1,,,4,,41,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,22,,,,,,,,,,,,1,,,,5,25,1,,1,4,2,13,,,,,,,,,,,,,19,,,,,,,1,1,,,,,,
1BMSS001.35,5/1/2013,MSS4605,2013-05-01T09:00:00Z,1,1,,,,,,,,2,,,1,,1,,,,,,,,,,19,,41,,,2,,,,,,,,,,,8,,,,,,,1,,,,1,,,21,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,5,,11,,,9,,,,,,3,,2,4,19,,,,31,,,,,,,,
2-BFC001.11,5/1/2013,BFC4684,2013-05-01T13:40:00Z,1,,,,,,,,1,,2,,,,1,3,,1,,8,,,,,3,,156,,,,,,,,,2,,,,,6,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,4,,1,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7-CAV001.62,5/1/2013,CAV4920,2013-05-01T11:30:00Z,1,,,,,,,2,,,,54,,,,,5,,,7,,,,,,,41,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,21,,,,,,,,,,,,1,4,8,,,,,,,,,8,,,,,2,,,,,,,,,,,,,,
8-BRC001.88,5/1/2013,BRC4940,2013-05-01T13:45:00Z,1,,2,,,9,,,,1,,,,,11,,,,,,,1,,,8,2,21,,,,,,,,4,,5,,,,80,,,,,,,,,,2,1,,2,,,3,6,2,,,5,,,,5,,,3,,,,,,,,,1,,,,,,11,,,,,3,,3,,,1,,,1,,,,,,3,,,,,,,,
8-HCN000.20,5/1/2013,HCN4942,2013-05-01T11:30:00Z,1,,,,,17,,,,8,,,,,6,,,,,,,,,,15,13,7,,,2,,,,,,,7,,,13,60,,,,,,,,,,2,,,22,,,2,2,4,,,,,,,2,1,,,,1,,,,,,,2,,,,,,6,,,,,10,,2,,,,,,4,,3,,,,4,1,,,,,,,
1BNFS037.89,5/2/2013,NFS4404,2013-05-02T11:45:00Z,1,1,6,,,,,,,,,,,9,5,,,,,,,,,,2,,72,1,1,,,,,,6,,,,,,16,1,,,,,,1,,,,,,,3,,,,,,,6,,,,,,2,,,,,,,,,,4,1,,,,,14,,1,,,,,1,,,,5,,3,,15,,,,4,,,,,,,,
1BNFS073.75,5/2/2013,NFS4405,2013-05-02T09:40:00Z,1,4,,,,,,,,,,,,1,4,,,,,,,,,,2,13,37,,,1,,,,,1,,,,,,22,1,,,,,,,1,,,,,,1,,2,8,,,,5,,,,24,,3,,,,,,10,,,,3,,,,,,2,,11,,,,,1,,,,,,,,21,,,,20,,,,2,,,,
2-MIV000.39,5/2/2013,MIV4612,2013-05-02T12:30:00Z,1,4,,,,5,,,,,,,,6,,,,,,,,,,,1,4,13,1,,,,,,3,4,,,,,28,6,4,,,2,,,,10,,,,,3,,,,8,,,4,4,,,,5,,,,,1,,,12,2,,,,,1,,,,,2,13,,,,1,20,,,1,,,17,,33,,,,,,,,1,,,,
3-THO014.37,5/2/2013,THO4911,2013-05-02T10:45:00Z,1,,,3,,2,,,,,,,,,4,,,,,2,,,,,5,1,5,,2,,,,2,,41,1,,,,7,25,,,,,,,,,,,1,,,7,,2,21,2,16,,,,,,5,,3,,,,1,2,2,,,,2,,,,,1,8,,,,,,,2,,,,,,7,,,,,,4,2,,,2,,,,
7-TAY003.11,5/2/2013,TAYTRO29,2013-05-02T09:25:00Z,1,,,,,,,8,,,,6,,,,,1,,,,1,,,,,,37,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,22,6,47,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2-WTK001.50,5/3/2013,WTK4889,2013-05-03T13:15:00Z,1,,,,,1,,,,,,27,,,,,,,,,,1,,,,,51,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,9,,,,,32,,,6,18,2,,,,,1,,,,4,,,,,5,,,,,,,,,,,,,,
3-THO024.12,5/3/2013,THO4936,2013-05-03T10:00:00Z,1,2,,6,,2,,,,,,,,,,,,,,,,,,,3,3,31,,,,,,,1,21,,,,,5,90,,2,,,,,2,,,,2,,,8,,,3,2,1,,,,,,2,1,,2,,,1,,4,,2,,,,,,,,,,,,,,,3,,2,1,,,,1,1,,,,2,1,,,2,,,,
1AGOO039.63,5/6/2013,GOO4834,2013-05-06T11:00:00Z,1,,,,,7,,,,,,,,,17,,,,,,,,,,,1,4,,2,1,,,,1,14,1,,,,,45,,,,,,1,1,,1,,,,4,,,,24,3,,,,,,,4,,,,,,,,3,,,,4,,,,,,14,,,,,,,1,,,,,,23,,,,,,,1,,,,,,,
2-ALL000.19,5/6/2013,ALL4944,2013-05-06T11:30:00Z,1,,,,,,,,12,,3,,,,4,,,,,,,,,,5,,118,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,12,6,,,,,,,,,,,,,,1,4,,2,,,,,,,,3,,,,,22,2,13,,,,,,1,,,,,,
4APEC002.42,5/6/2013,PEC4785,2013-05-06T10:15:00Z,1,,,,,,,,,,,,,5,12,,,,,,,,,,1,,148,,2,,,,,,,,,,,,1,,1,,,,1,2,5,,,,,,,,,,,,,,,,,4,3,,,,,,,,1,,,18,,,,1,,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5ALNT009.80,5/6/2013,LNT4724,2013-05-06T14:15:00Z,1,3,,,,1,,,1,,,3,,6,,,,1,,,,,,,1,,76,,,,,,,,,,,,,,9,,,,,,,,,,,1,,1,,,,,,,,,,,,5,2,,,,,,39,,,,,11,,,,,,11,,,,,,,,1,,,,,37,,,,,,1,,,,,,,,
5ASYC003.90,5/6/2013,SYC4723,2013-05-06T13:00:00Z,1,,,,,,,,3,,1,,,,,1,,,,17,1,,,,3,,105,,,,1,,,,,,,,,,,,,,,,3,,,1,,,,,,31,,,,,,,,,,5,2,,,,,,9,,,,,6,,,,1,,,,,,,,,,5,,,,,12,,,,,,,1,,,,,,,
4ARCC006.89,5/13/2013,RCC4614,2013-05-13T14:30:00Z,1,1,,2,,1,,,,,,,,9,1,,,,,,,1,,,,,27,2,,,,2,4,,11,,,,,11,20,6,,,,,,,6,,2,,,,,,,,5,,1,,2,,,,,,,,,,,2,10,,1,,,2,,,,,,,,,,3,,,8,6,,,10,,,,,21,,,,2,,1,,,
9-BRF017.34,5/13/2013,BRF4608,2013-05-13T10:45:00Z,1,8,,,,,,,,4,,,,7,,,,,,,,,,,,,29,,,,,,,5,2,,,,2,,35,19,1,,,,1,1,4,,1,,,4,,,,,,,1,1,,,,1,,,,,,,,15,7,,,,,1,,,,5,,1,,,,1,12,,,,,,2,,,,,,,,,,,,,,
2-JES002.87,5/16/2013,JES4615,2013-05-16T15:20:00Z,1,2,,3,,,,,,1,,,,5,2,,,,,,,,,,16,4,34,,,1,,,,2,49,,,1,,5,14,1,,,,,,,1,2,1,,,1,,,,7,6,,,,,,,12,,,,,2,,,2,1,,1,,1,,,,,,,,2,,,,18,,1,,1,,3,,1,,1,,,,,,,,,,
6BMLG000.55,5/16/2013,MLG4361,2013-05-16T10:55:00Z,1,4,,,,1,,,,1,,,,4,30,,,,,,,,,2,7,,69,,,,,,,17,,,,,,4,10,,2,,1,,,1,1,,,,,,,1,,,,,1,,1,,,1,,,,,,,6,3,1,,,,,,,,,,,,,,,,11,,,,,,1,,3,,1,,,,,,,,,,
1ALIV004.79,5/22/2013,LIV4835,2013-05-22T10:45:00Z,1,,,,,2,,3,,,3,,,,2,,,,,1,,1,,,,1,40,,1,1,,,,1,2,3,,,,,13,,,,,,8,,,,,,,,,,,26,2,,1,,,,,10,5,,,,2,,1,,,,1,9,,,,,,8,,,,,,,1,,,,18,,5,2,19,,,,,,,,,,,,
1ALIV012.12,5/22/2013,LIV4836,2013-05-22T12:55:00Z,1,1,,,,,,1,1,,,1,,,1,,,1,,2,,,,,9,1,50,,1,1,,,,,,,,,,,11,,,,,,3,,,,,1,,,1,,,9,2,,1,,1,,,7,4,,,,,,5,3,,,7,24,,,,,,1,,,,,,,,,,,20,,2,1,8,,,,,1,,,,,,,
2BCBL002.86,5/22/2013,CBL4599,2013-05-22T10:30:00Z,1,,,3,,,,,,,,,,,5,,,,,,,,,,,,34,2,,,,3,4,5,2,,,1,,23,19,,,,,3,,,1,,2,,,,,,,,,,12,1,11,1,,,,,5,6,,,,6,12,,,1,2,,,,,,,,,,,,,,2,3,,,5,,,4,,,,1,,,,,,,
2-RED008.96,5/22/2013,RED5026,2013-05-22T13:00:00Z,1,3,,,,,,,,2,,,,2,9,,,,,,,1,,,1,,37,6,,,,1,6,8,1,,,,1,32,16,1,,1,1,,,,2,,2,,,,,,,,,,9,2,,,,2,,,,,1,,,,8,,,,2,2,,,,7,13,,2,,,,28,,5,2,3,,7,,,,,,,1,,1,,,,,
4AOST002.01,5/22/2013,OST5031,2013-05-22T14:15:00Z,1,,,3,,,,,,,,,,5,10,,,,,,,,,,2,,23,3,,,,,2,14,3,,,1,,24,34,,,,,2,,,5,,3,,,,,,,,5,1,3,7,,,,2,,,,,,,2,,3,,,,,,,,,10,12,,,,,1,3,,3,,,,5,,,,,,,,,1,,,,,
9-PLK000.79,5/22/2013,PLK4616,2013-05-22T12:30:00Z,1,1,,1,,15,,,,,,,,18,5,,,,,,,1,,,,,40,4,,,1,,5,5,,,,,1,,,,,,,6,,1,4,,2,,,,,,,,4,4,8,,11,,,,,,,,1,,,,,,7,,2,1,,,,,6,,1,,,9,4,,,1,,,15,,,,,,,,,,3,,,,
2-TNR000.25,5/23/2013,TNR4725,2013-05-23T09:25:00Z,1,6,,,,,1,,,2,,,,11,12,1,,,1,,,,,,4,5,69,,1,1,,,,2,,,,,,,1,,,,,,,,,,,1,,,,21,,7,1,,,6,1,,,18,,1,,,,,14,2,7,,,1,4,,,,,3,,,,,,,,,,,2,,3,,,,,,,,,,,,,,
1BMDL060.48,5/28/2013,MDL4606,2013-05-28T10:00:00Z,1,,,,,,,,,,,8,,,26,,,,,,,,,,,,24,,1,,,,,,,1,,,,,1,,,,,,,1,2,,,,,,3,,,,,,,,,1,,,,,1,,,,,29,,,,,,,,,,,,1,,,,,3,,,,,,5,,72,,,,8,,,,,,,,
4ACEC001.24,5/28/2013,CEC4664,2013-05-28T13:00:00Z,1,11,,,,1,1,,,,,,,,,,,,,,,,,,4,5,106,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,5,,2,,,4,,8,,,9,,,,,1,,,1,2,,3,1,,,,,,,,,2,,,,,,,4,,,29,,3,,,,,,,3,,,,,
